"Subject" "Activity" "TimeBodyAccelerometerMean()-X" "TimeBodyAccelerometerMean()-Y" "TimeBodyAccelerometerMean()-Z" "TimeBodyAccelerometerStandardDeviation()-X" "TimeBodyAccelerometerStandardDeviation()-Y" "TimeBodyAccelerometerStandardDeviation()-Z" "TimeGravityAccelerometerMean()-X" "TimeGravityAccelerometerMean()-Y" "TimeGravityAccelerometerMean()-Z" "TimeGravityAccelerometerStandardDeviation()-X" "TimeGravityAccelerometerStandardDeviation()-Y" "TimeGravityAccelerometerStandardDeviation()-Z" "TimeBodyAccelerometerJerkMean()-X" "TimeBodyAccelerometerJerkMean()-Y" "TimeBodyAccelerometerJerkMean()-Z" "TimeBodyAccelerometerJerkStandardDeviation()-X" "TimeBodyAccelerometerJerkStandardDeviation()-Y" "TimeBodyAccelerometerJerkStandardDeviation()-Z" "TimeBodyGyroscopeMean()-X" "TimeBodyGyroscopeMean()-Y" "TimeBodyGyroscopeMean()-Z" "TimeBodyGyroscopeStandardDeviation()-X" "TimeBodyGyroscopeStandardDeviation()-Y" "TimeBodyGyroscopeStandardDeviation()-Z" "TimeBodyGyroscopeJerkMean()-X" "TimeBodyGyroscopeJerkMean()-Y" "TimeBodyGyroscopeJerkMean()-Z" "TimeBodyGyroscopeJerkStandardDeviation()-X" "TimeBodyGyroscopeJerkStandardDeviation()-Y" "TimeBodyGyroscopeJerkStandardDeviation()-Z" "TimeBodyAccelerometerMagnitudeMean()" "TimeBodyAccelerometerMagnitudeStandardDeviation()" "TimeGravityAccelerometerMagnitudeMean()" "TimeGravityAccelerometerMagnitudeStandardDeviation()" "TimeBodyAccelerometerJerkMagnitudeMean()" "TimeBodyAccelerometerJerkMagnitudeStandardDeviation()" "TimeBodyGyroscopeMagnitudeMean()" "TimeBodyGyroscopeMagnitudeStandardDeviation()" "TimeBodyGyroscopeJerkMagnitudeMean()" "TimeBodyGyroscopeJerkMagnitudeStandardDeviation()" "FrequencyBodyAccelerometerMean()-X" "FrequencyBodyAccelerometerMean()-Y" "FrequencyBodyAccelerometerMean()-Z" "FrequencyBodyAccelerometerStandardDeviation()-X" "FrequencyBodyAccelerometerStandardDeviation()-Y" "FrequencyBodyAccelerometerStandardDeviation()-Z" "FrequencyBodyAccelerometerMeanFreq()-X" "FrequencyBodyAccelerometerMeanFreq()-Y" "FrequencyBodyAccelerometerMeanFreq()-Z" "FrequencyBodyAccelerometerJerkMean()-X" "FrequencyBodyAccelerometerJerkMean()-Y" "FrequencyBodyAccelerometerJerkMean()-Z" "FrequencyBodyAccelerometerJerkStandardDeviation()-X" "FrequencyBodyAccelerometerJerkStandardDeviation()-Y" "FrequencyBodyAccelerometerJerkStandardDeviation()-Z" "FrequencyBodyAccelerometerJerkMeanFreq()-X" "FrequencyBodyAccelerometerJerkMeanFreq()-Y" "FrequencyBodyAccelerometerJerkMeanFreq()-Z" "FrequencyBodyGyroscopeMean()-X" "FrequencyBodyGyroscopeMean()-Y" "FrequencyBodyGyroscopeMean()-Z" "FrequencyBodyGyroscopeStandardDeviation()-X" "FrequencyBodyGyroscopeStandardDeviation()-Y" "FrequencyBodyGyroscopeStandardDeviation()-Z" "FrequencyBodyGyroscopeMeanFreq()-X" "FrequencyBodyGyroscopeMeanFreq()-Y" "FrequencyBodyGyroscopeMeanFreq()-Z" "FrequencyBodyAccelerometerMagnitudeMean()" "FrequencyBodyAccelerometerMagnitudeStandardDeviation()" "FrequencyBodyAccelerometerMagnitudeMeanFreq()" "FrequencyBodyAccelerometerJerkMagnitudeMean()" "FrequencyBodyAccelerometerJerkMagnitudeStandardDeviation()" "FrequencyBodyAccelerometerJerkMagnitudeMeanFreq()" "FrequencyBodyGyroscopeMagnitudeMean()" "FrequencyBodyGyroscopeMagnitudeStandardDeviation()" "FrequencyBodyGyroscopeMagnitudeMeanFreq()" "FrequencyBodyGyroscopeJerkMagnitudeMean()" "FrequencyBodyGyroscopeJerkMagnitudeStandardDeviation()" "FrequencyBodyGyroscopeJerkMagnitudeMeanFreq()" "Angle(TimeBodyAccelerometerMean,Gravity)" "Angle(TimeBodyAccelerometerJerkMean),GravityMean)" "Angle(TimeBodyGyroscopeMean,GravityMean)" "Angle(TimeBodyGyroscopeJerkMean,GravityMean)" "Angle(X,GravityMean)" "Angle(Y,GravityMean)" "Angle(Z,GravityMean)"
"1" "1" 0.272004138415493 -0.0120630442234507 -0.108962298612676 -0.513275267464789 -0.228797529429577 -0.484952157676056 0.900895570492958 -0.121115015239437 0.0643400137323944 -0.973911280915493 -0.959460337816901 -0.948155354507042 0.0751805183309859 0.0187095252112676 -0.0039034142771831 -0.402505110291549 -0.279994681669014 -0.66329780084507 -0.0429957337399296 -0.0769421807894366 0.0776586799992958 -0.640245080774648 -0.356422613398944 -0.541917944225352 -0.0912161790084507 -0.0399649853795775 -0.046320153321831 -0.467017331211268 -0.531210265704225 -0.597445428873239 -0.405587962837324 -0.453824697288732 -0.405587962837324 -0.453824697288732 -0.421421507380282 -0.375552516802394 -0.415809890992958 -0.434408036126761 -0.528167165866197 -0.544763195316901 -0.459919699443662 -0.252459611702817 -0.539295077323944 -0.536684345633803 -0.266113553870634 -0.496410638183099 -0.155241089167606 0.100798323885915 0.112317065215775 -0.440648040085986 -0.348455350286908 -0.640136772394366 -0.416217593950704 -0.253787798042817 -0.684857172746479 -0.0550646391767606 -0.242661765907746 -0.0935419194732394 -0.549913010816901 -0.391937028671127 -0.48610014028169 -0.669346710211268 -0.340940085773944 -0.60448978971831 0.0724980237476056 -0.0231099764584507 -0.0093406952562676 -0.399753698378873 -0.573591559366197 0.205872812443662 -0.364321570163803 -0.394135694543662 0.179226483512394 -0.450531456011972 -0.523310065070423 0.179773888304648 -0.541230993866197 -0.581996574859155 0.188714762361972 0.0495271743422535 0.00452798642253521 0.0311441120422535 -0.0340143608901408 -0.683571237112676 0.165272070683803 -0.0260930488802817
"1" "2" 0.239023123757282 -0.0319923745871845 -0.10502120184466 -0.633032512524272 -0.407420818707767 -0.411023978061165 0.338869109281553 0.156149129737864 0.177616797893204 -0.927465566990291 -0.930941841728155 -0.883246827776699 0.0915250620961165 0.0118901408178641 -0.0181854666237864 -0.69521195776699 -0.643262216116505 -0.827108860970874 0.0179753633796117 -0.116808902952427 0.102209007496116 -0.704420989621359 -0.459582012317476 -0.701885173786408 -0.11496974916699 -0.0418421313825243 -0.0568958383647573 -0.76227292223301 -0.779468786019417 -0.776942758252427 -0.475559437417476 -0.553210703330097 -0.475559437417476 -0.553210703330097 -0.703344620194175 -0.697076091165049 -0.489854016198058 -0.474051770337864 -0.773804304368932 -0.788013208640777 -0.663922399805825 -0.519175014194175 -0.651464835145631 -0.622384133300971 -0.39347081301165 -0.350377481452427 -0.292549403353398 -0.0353418469621359 -0.224215546592233 -0.71152507 -0.660540714854369 -0.812943553106796 -0.705719493203883 -0.64898133961165 -0.83989786407767 -0.129721079418447 -0.250267788662136 -0.27173912423301 -0.666222108051456 -0.626618728349515 -0.674813479029126 -0.719486646116505 -0.383786800728155 -0.739122727475728 -0.0981767274067961 -0.288115730428155 -0.0635525305116505 -0.599663761893204 -0.601716819417476 -0.00834921732038835 -0.680830899514563 -0.721770592524272 0.173235295079612 -0.586266665165049 -0.494312664582524 -0.180697374454951 -0.784034919223301 -0.809818941941748 0.144475674797087 0.0598141778224272 -0.0299458565194175 -0.100994633785437 0.0747872563592233 -0.125884066893204 -0.0803372543592233 -0.132911047893204
"1" "3" 0.283851588627451 -0.0131499902098039 -0.109143526416667 -0.502975913734598 -0.521018962931373 -0.619798018892157 0.937630417156863 -0.269922056078431 -0.0228321285098039 -0.973008519411765 -0.959989118235294 -0.937708043431373 0.0651820900196078 0.0183880955117647 -0.00718573435192157 -0.522705391242157 -0.56095932315098 -0.681669892 -0.0293155026366667 -0.0745487454313725 0.0821431911661765 -0.732986958568628 -0.573931724235294 -0.569457240077451 -0.0872871496248039 -0.0440279548186275 -0.0384278252235294 -0.749906180784314 -0.631811040872549 -0.644618247959804 -0.498377634420392 -0.500672961267647 -0.498377634420392 -0.500672961267647 -0.558611955481373 -0.528408797702941 -0.543779338078431 -0.616971230931373 -0.658931061019608 -0.664116502754902 -0.498774671133333 -0.506949112216078 -0.620332307284314 -0.505855795805882 -0.55947801635 -0.651266094117647 -0.102716181907157 0.0914134156362745 0.268620758693333 -0.530107468362745 -0.573841981027451 -0.653316341666667 -0.558519374268333 -0.577513592696078 -0.708616589313726 0.0416337541862745 -0.141826616654902 0.076510373327451 -0.681848348988235 -0.540643005205882 -0.524927229830392 -0.751108329794118 -0.600059130139216 -0.624980756764706 -0.110762380539216 0.0164204784598039 0.0159222601039216 -0.46560044077549 -0.600025651005882 0.205113729476765 -0.50313769665 -0.565715381917647 0.256134816119608 -0.60083360825 -0.699783048392157 0.153087989546667 -0.65236685862451 -0.705114151803922 0.265083014902843 -0.00141024698431373 0.0546150306235294 0.0128676719235294 -0.0337135377588235 -0.743924725294118 0.268767845 0.0375944286666667
"2" "1" 0.276716064571429 -0.0173214093948571 -0.1071291586 -0.670369069809524 -0.46037896100381 -0.659450379714286 0.925047402190476 -0.241036185113752 0.134669804790476 -0.975889351238095 -0.96538484247619 -0.964337411142857 0.0663854503719048 0.0153780719989524 0.00776834737752381 -0.588808253186667 -0.43777898943619 -0.761954023428571 -0.0497159388795238 -0.0533597612990476 0.0646063091619048 -0.747386651142857 -0.731419663238095 -0.690809687333333 -0.0870307422 -0.0484546293666667 -0.0480290997257143 -0.652476715428571 -0.79043055247619 -0.676466808952381 -0.587210997428571 -0.654970023047619 -0.587210997428571 -0.654970023047619 -0.590434875038095 -0.52353141002381 -0.665371528476191 -0.731891445428571 -0.742062417047619 -0.746966259333333 -0.626322077809524 -0.431716045139048 -0.680019388190476 -0.689715121714286 -0.511308135009524 -0.674988556095238 -0.044600610855619 0.177385938166667 0.080800445927619 -0.603936652952381 -0.472338164438095 -0.743413163619048 -0.610091330295238 -0.438301320747619 -0.779164286761905 0.0930024217473333 -0.136605745677905 -0.102499037970476 -0.671939833809524 -0.741982829619048 -0.643375394 -0.771736373333333 -0.727696713142857 -0.736700798285714 0.0612720445161905 -0.10817067567619 0.0964661676648571 -0.603349225409524 -0.74291128752381 0.278306091631429 -0.526028885390476 -0.523344178547619 0.239289773119048 -0.723964299904762 -0.787424017333333 0.124945103504762 -0.761384362380952 -0.747155071809524 0.156300486854571 0.000402907584390479 0.028519641407619 0.0213364454152381 -0.0816225802457143 -0.711235230190476 0.248900690495238 -0.0725218100161905
"2" "2" 0.264269097177083 -0.0197854264814583 -0.12987975496875 -0.639217935625 -0.436125059430208 -0.548177159047917 0.140481590208333 0.168160874479167 0.225473320345833 -0.946711090625 -0.955989659479167 -0.9311172375 0.0785240175619792 0.00127246665427083 0.008839395146875 -0.630997027614583 -0.584410747735417 -0.7810941834375 -0.0380839351041667 -0.0719445671614583 0.106860124135417 -0.7137641459375 -0.7242949728125 -0.562151176047917 -0.0924299671708333 -0.0391321942270833 -0.0573470251229167 -0.729045106145833 -0.8175294378125 -0.727815891145833 -0.542379082364583 -0.58942547910625 -0.542379082364583 -0.58942547910625 -0.654505303541667 -0.601453735415625 -0.584862521270833 -0.66934811078125 -0.782291756354167 -0.7935049071875 -0.62172299653125 -0.484938209549063 -0.632691484038542 -0.646914448229167 -0.448072413258333 -0.539668580715625 -0.214115402004167 0.0977000098020833 0.0829717305394375 -0.62222653528125 -0.585305191064583 -0.754462598958333 -0.676332848645833 -0.614270769791667 -0.807218175 0.0553470181048542 -0.08324123068125 -0.0918301333229167 -0.659037359979167 -0.7357038796875 -0.60563650475 -0.732609765729167 -0.720834552708333 -0.590623346885417 -0.00635655717604167 -0.044038591140625 -0.011021606540625 -0.560214367807292 -0.670924815833333 0.186989303864583 -0.587442625846875 -0.622496164064583 0.164920875570833 -0.71136257875 -0.6998593903125 -0.0020941484065625 -0.795523599270833 -0.805656431666667 0.15577245225 0.0502214588458333 -0.00705512275520834 0.04033378603125 -0.0552011559902083 0.0698622351041667 -0.072991754375 -0.156890388002604
"2" "3" 0.277773671871287 -0.0203941703287129 -0.110982863752475 -0.50627176229802 -0.389495300389109 -0.555638036128713 0.880596196534653 -0.349455944158416 0.0489461677346535 -0.965129078316832 -0.958314053465346 -0.939184781881188 0.0911771025620792 0.00399638431277228 -0.0142180065616832 -0.456018999087129 -0.460161317384158 -0.68375419009901 -0.0667138070678218 -0.0461072896831683 0.0921808730118812 -0.669495245746535 -0.71284760019802 -0.64589035780198 -0.0834775987029703 -0.0421977792217822 -0.0622712210722772 -0.63711588009901 -0.744235612990099 -0.622113498658416 -0.474550070560396 -0.411808815546535 -0.474550070560396 -0.411808815546535 -0.52159027230198 -0.415331261673267 -0.590594515304257 -0.637926888465347 -0.717271469207921 -0.682167022217822 -0.473560291234653 -0.383671828683168 -0.575684265881188 -0.521308239966337 -0.432121789613861 -0.58141544100495 -0.0693505918425743 0.0388811555494059 0.0979036054165347 -0.460206762761386 -0.474298432615842 -0.650181169326733 -0.502320316270297 -0.482880451594059 -0.716386968019802 0.11024800170297 -0.19680960750297 -0.0880197488544554 -0.584866085733663 -0.688406554336634 -0.554318176728713 -0.697850321039604 -0.732637483663366 -0.715318338910891 -0.0748947241881188 -0.0556381739227723 0.0637690179978218 -0.378889605348515 -0.523540095486139 0.107635724253465 -0.418969284256436 -0.415515548618812 0.171765839063366 -0.663517924821782 -0.684927709821782 0.0130278387415842 -0.699724060247525 -0.682698855594059 0.0620508730831683 -0.0186365501346535 0.019051399759604 0.162498174224752 0.0258144259346535 -0.62615887019802 0.325774870693069 -0.0112980318742574
"3" "1" 0.266883526863636 -0.0107128128552727 -0.105906852063636 -0.64902924 -0.441810381929091 -0.617960225363636 0.919768530090909 -0.0779584821746364 -0.0071016905 -0.968105673727273 -0.934732941090909 -0.926396478727273 0.0772839808766364 0.00659223420727273 -0.00496595108409091 -0.602324760409091 -0.474514781606364 -0.739932692545455 -0.0317368107418182 -0.076650978 0.0873346467378182 -0.757918567727273 -0.743931334545455 -0.689290043727273 -0.0991946871645455 -0.0375127669581818 -0.0544489928318182 -0.663236111818182 -0.799601548454545 -0.743287304818182 -0.557563395818182 -0.584586970181818 -0.557563395818182 -0.584586970181818 -0.605752177818182 -0.530688663535455 -0.680530082727273 -0.733586918436364 -0.760834012181818 -0.760906633454545 -0.625560396436364 -0.464497675627273 -0.651391531272727 -0.659286899909091 -0.467053476782727 -0.631624360181818 -0.115237078962727 0.0874276934190909 0.0620939443708182 -0.621542696072727 -0.525148600936364 -0.730035778363636 -0.617903168454545 -0.455106187528273 -0.748518054909091 -0.0119310859545455 -0.181730150160909 -0.203616067669364 -0.683524431454545 -0.748086799909091 -0.662451404272727 -0.781942897454545 -0.744138749636364 -0.727771948636364 0.0424223034563636 -0.0985236109590909 -0.0417844824563636 -0.580358970636364 -0.654092922545455 0.0731544930863636 -0.555077857763636 -0.504299961758727 0.0737988091590909 -0.747931016909091 -0.771060833618182 0.0407959551272727 -0.782729972363636 -0.751226510909091 0.0653464119672727 0.04328013922 -0.0383040757246364 0.0814928803727273 -0.0312747561118182 -0.740298661363636 0.135414908427273 0.0248448067181818
"3" "2" 0.268350556867769 -0.0255165090047934 -0.105574021059504 -0.656251524380165 -0.487285214554545 -0.674085667768595 0.306937579256198 0.242212992644628 0.170957885289256 -0.963753424049587 -0.946399188099174 -0.937824616115702 0.060259725607438 0.0264431815368595 0.00792003828677273 -0.726099420826446 -0.619084350726446 -0.848713447107438 0.0245374088838843 -0.104727217529752 0.0812234264570248 -0.721720273710744 -0.784898615206612 -0.733757510413223 -0.107585806016529 -0.0394940723710744 -0.0595104718876033 -0.749664055454546 -0.883884003801653 -0.783467572231405 -0.588181341033058 -0.656725417024793 -0.588181341033058 -0.656725417024793 -0.714919117355372 -0.714229218016529 -0.656933896785124 -0.688341896016529 -0.826851797024793 -0.853870150661157 -0.693632365595041 -0.530928053423141 -0.742163388099174 -0.643169408421488 -0.497919157871901 -0.664630903471074 -0.262799988572727 0.0734219505826446 -0.0248150010396694 -0.735697872809917 -0.634753812816446 -0.831959858347107 -0.740941704628099 -0.628330815578512 -0.864246149256198 -0.0683739350983471 -0.228021522015702 -0.192879034904132 -0.681530202677686 -0.811921465206612 -0.703503304958678 -0.736492540330579 -0.771758062809917 -0.76921228338843 -0.113091471709091 -0.179126053233058 0.0259317688626446 -0.648748791322314 -0.714622985619835 0.133048582855372 -0.701414942809917 -0.734089887272727 0.166388929290083 -0.744982317190083 -0.706637366970248 -0.0984110810512397 -0.853892896859504 -0.864307425950413 0.0934788000743802 0.0157468843130165 0.0646909453124793 -0.104918939019008 0.0310791583 -0.0760326281818182 -0.153651079256198 -0.111931752016529
"3" "3" 0.285559891454545 -0.0165728361328182 -0.108088885301109 -0.561676249527273 -0.510225236223636 -0.6667848359 0.936824628090909 -0.269258858636364 -0.0318612330190909 -0.967784013272727 -0.952378017090909 -0.915591906 0.0739670121717273 0.00916620811090909 -0.00537922953727273 -0.568968409609091 -0.571849222581818 -0.794287860363636 -0.0722864507072727 -0.0386543283345455 0.0920509882663636 -0.615901937879091 -0.758048952 -0.702975359818182 -0.0898428552036364 -0.0436401759790909 -0.0416547499845455 -0.649051555863636 -0.840371619909091 -0.698286717481818 -0.541173617632636 -0.525811890040909 -0.541173617632636 -0.525811890040909 -0.623402339509091 -0.567399660574545 -0.590608007918182 -0.598668897981818 -0.760204645454545 -0.791186428363636 -0.551217200017273 -0.506999274973636 -0.701164910454545 -0.567022297945455 -0.543771732925455 -0.675357319990909 -0.193416689142727 -0.0475142568418182 -0.0209323383065455 -0.571459483390909 -0.583766954354546 -0.773123474454545 -0.606377529687273 -0.589268592209427 -0.814309832363636 -0.0607093575832727 -0.301756322368182 -0.184555365781818 -0.557295276913636 -0.761749042090909 -0.642972558161818 -0.637672838559091 -0.758293771636364 -0.754222054181818 -0.235982694355455 -0.224230309791818 -0.0865178966410909 -0.501154365559091 -0.615369294126364 0.0193983979171818 -0.548097240170909 -0.596696616299091 0.0913648780333636 -0.654737081447273 -0.633540212036364 -0.194827087656898 -0.789252886909091 -0.809136748636364 0.0177118152590909 -0.0169091065736364 0.008839095973 0.145210514190909 -0.0624554911663636 -0.736368050181818 0.268042757818182 0.0440606528136364
"4" "1" 0.275380317327273 -0.011350455545 -0.108890124409091 -0.686048134818182 -0.447643666000909 -0.743502897636364 0.920955746636364 0.0493625945713155 0.119744280127273 -0.982725949363636 -0.951946804118182 -0.957504995 0.07839705171 -0.00332317634790909 -0.00594145925709091 -0.605996968745455 -0.549997392499091 -0.854867465818182 -0.0398188265888182 -0.0802994065954546 0.0899234518754545 -0.714196264181818 -0.798609559909091 -0.783228227545455 -0.10697061455 -0.0404842403145455 -0.0523347534087273 -0.709413187 -0.887884219272727 -0.789704450454545 -0.595525231363636 -0.703464894818182 -0.595525231363636 -0.703464894818182 -0.640987881545454 -0.610387208 -0.692460888669091 -0.723926193818182 -0.817297866181818 -0.841810151090909 -0.677057199090909 -0.493210223603636 -0.776813776454545 -0.690268229454545 -0.459830313671909 -0.745471503454545 -0.0586037285827273 0.0425469502227273 -0.0374785683688182 -0.639775367727273 -0.581710209381818 -0.840884009272727 -0.607076454154545 -0.545987802527273 -0.867513796818182 0.023037930092 -0.244703182573636 -0.172108830647273 -0.640295947545455 -0.815334416272727 -0.752470112363636 -0.738413280818182 -0.790777156 -0.814826602090909 -0.019769202199 -0.32924741124 0.0154980943090909 -0.668167075 -0.773283119727273 0.22118536482 -0.611275503181818 -0.611879527545454 0.164082634820545 -0.763596571827273 -0.746170543363636 -0.0529130037293636 -0.838973031 -0.857083386909091 0.183800296243636 -0.0114387311254545 -0.00295169637718182 -0.00515892646545455 0.00314747170090909 -0.794826081636364 0.0454606482909091 -0.0624324883652727
